IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,FLOW_DURATION_MILLISECONDS,OUT_PKTS,OUT_BYTES,IN_PKTS,IN_BYTES,L7_PROTO,TCP_FLAGS,Attack
192.168.31.101,46029,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46030,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46035,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45717,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46043,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45849,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46189,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46057,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46385,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46063,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46230,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46074,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46216,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46076,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46403,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46584,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46750,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46429,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46763,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46764,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46440,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46443,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46444,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46447,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46455,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46789,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46459,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46923,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46799,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46801,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46469,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46818,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46481,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46863,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46829,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46831,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46835,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46498,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46839,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46504,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,46858,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47199,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47200,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47459,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47221,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47476,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47222,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47226,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47229,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47485,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47340,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47488,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47489,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47504,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47245,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47282,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47518,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47257,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44100,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47272,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44106,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47275,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44109,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47555,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44282,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47556,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44402,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44404,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44118,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44413,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44132,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44420,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44271,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44264,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44463,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44320,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44092,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44095,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44096,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44449,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45724,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48992,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,49003,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,49027,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,55978,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56003,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56018,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56019,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56024,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56039,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56048,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56686,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56715,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56733,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56741,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56753,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,56756,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44346,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,59610,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44168,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,59622,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44171,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,60715,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44622,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,61472,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44179,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,62022,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44458,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,62023,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44467,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,62050,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44472,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,62080,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44800,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,62098,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44477,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,64231,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44497,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,63857,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44923,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,63871,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45170,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47558,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45186,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44840,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45196,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45200,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44852,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47310,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44857,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47311,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45207,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47322,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44859,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47313,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45210,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,637,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44860,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44871,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45291,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45223,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44881,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47885,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45224,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48329,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44884,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47901,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45230,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47919,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44889,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48187,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44979,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48397,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44899,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47911,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45237,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47921,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44913,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48212,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,44918,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47969,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45249,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,47970,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45250,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48226,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45254,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48231,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45255,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48232,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,1233,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45257,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,45609,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,48082,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
192.168.31.101,1242,192.168.31.148,80,6,0,1,60,0,0,HTTP,0,Dos_TCP_Flood
